processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
SARBA635-09	BC-RBP-1105	1037090		BC-RBP-1105	Research Collection of Ron Brechlin		BOLD:AAB1305	20	Arthropoda	82	Insecta	113	Lepidoptera	451	Saturniidae	6236	Saturniinae	86648	Saturnia	177788	Saturnia anna			Ron Brechlin							Ivshin							A	M	S						28.21	83.42			2400				Nepal		Annapurna, S.Banthanti											
SARBB558-09	BC-RBP 2583	1197604		BC-RBP 2583	Research Collection of Eric Van Schayck		BOLD:AAB1305	20	Arthropoda	82	Insecta	113	Lepidoptera											Ron Brechlin							local coll.							A	M	S										2200				Nepal	Central												
SASNA601-09	barcode SNB 601	1004724		barcode SNB 601	Research Collection of Stefan Naumann		BOLD:ABY4515	20	Arthropoda	82	Insecta	113	Lepidoptera	451	Saturniidae	6236	Saturniinae	86648	Saturnia	777452	Saturnia rosalata			Stefan Naumann				Paratype Saturnia rosalata			M. Hreblay & L. Szecsenyi							Adult	M	S				PT	rhl					3000				Nepal		West Nepal		20 km N Dailekh									
SASNC124-11	barcode SNB 2208	1862897		barcode SNB 2208	Research Collection of Stefan Naumann		BOLD:ACF1331	20	Arthropoda	82	Insecta	113	Lepidoptera											Stefan Naumann							V. Gurko							A	F	S														Nepal													
SASNC1350-12	barcode SNB 3339	2422991		barcode SNB 3339	Research Collection of Swen Loeffler		BOLD:AAB1288	20	Arthropoda	82	Insecta	113	Lepidoptera											Rodolphe Rougerie	DNA & Geography						T. Ihle							A	M	S										2700				Nepal													
SICOB1060-18	CCDB-32135-B03	9399821	USNMENT00274369		Smithsonian Institution, National Museum of Natural History		BOLD:AAQ0252	20	Arthropoda	82	Insecta	105	Odonata	1866	Libellulidae	96062	Libellulinae	524077	Lathrecista	524078	Lathrecista asiatica			J. Michalski		Fabricius, 1798		Vouchered:Registered Collection	inv leg		J.Louton, W.Mathis				L85-39				F						Collection U.S. National Museum					200				Nepal		Chitawan District		Smithsonian Terai Ecology Project headquarters, Ro	3448354	http://www.boldsystems.org/pics/SICOB/CCDB-32135-B03+1544104594.jpg	Lateral		Smithsonian Institution	2018	CreativeCommons - Attribution	Smithsonian Institution	CBG Photography Group
SICOC1057-18	CCDB-32970-A12	9569460	USNMENT01522647		Smithsonian Institution, National Museum of Natural History		BOLD:ADS0852	20	Arthropoda	82	Insecta	413	Coleoptera	1813	Chrysomelidae	5899	Galerucinae	787493	Macrima					USNM Curators				Vouchered:Registered Collection	inv leg		Konstantinov, Lingafelter, Volkovitsh															27.79	85.2714			1730				Nepal				Dhunche-Kathmandu Rd. env. Ranipawa	3511154	http://www.boldsystems.org/pics/SICOC/CCDB-32970-A12+1551975420.jpg	Dorsal		Smithsonian Institution	2019	CreativeCommons - Attribution	Smithsonian Institution	CBG Photography Group
SICOC1111-18	CCDB-32970-F06	9569514	USNMENT01522701		Smithsonian Institution, National Museum of Natural History		BOLD:ADU1355	20	Arthropoda	82	Insecta	413	Coleoptera	1813	Chrysomelidae	5899	Galerucinae	657379	Sphenoraia	921762	Sphenoraia rutilans			USNM Curators				Vouchered:Registered Collection	inv leg		Konstantinov, Lingafelter, Volkovitsh										Forest, Small Valley with Stream					27.5918	86.3265			2240		470		Nepal				Jiri reg. Shivalaya-Deorali	3511306	http://www.boldsystems.org/pics/SICOC/CCDB-32970-F06+1552412168.jpg	Dorsal		Smithsonian Institution	2019	CreativeCommons - Attribution	Smithsonian Institution	CBG Photography Group
SICOC569-18	CCDB-32964-H10	9568972	USNMENT01522634		Smithsonian Institution, National Museum of Natural History		BOLD:ADS5915	20	Arthropoda	82	Insecta	413	Coleoptera	1751	Cerambycidae	2474	Lamiinae	899847	Imantocera	899848	Imantocera penicillata			USNM Curators				Vouchered:Registered Collection	inv leg		Konstantinov, Lingafelter, Volkovitsh															27.79	85.2714			1730				Nepal				Dhunche-Kathmandu Rd. env. Ranipawa	3508718	http://www.boldsystems.org/pics/SICOC/CCDB-32964-H10+1552060258.jpg	Dorsal		Smithsonian Institution	2019	CreativeCommons - Attribution	Smithsonian Institution	CBG Photography Group
VVGPL3209-15	CNCCOLVG00007774	5463770	CNCCOLVG00007774		Canadian National Collection of Insects, Arachnids and Nematodes		BOLD:ACT0931	20	Arthropoda	82	Insecta	413	Coleoptera											Vasily V. Grebennikov							J. Schmidt							adult								27.69	87.2			4050				Nepal													
VVGPL3224-15	CNCCOLVG00007789	5463785	CNCCOLVG00007789		Canadian National Collection of Insects, Arachnids and Nematodes		BOLD:ACS9397	20	Arthropoda	82	Insecta	413	Coleoptera	1752	Curculionidae	2556	Entiminae	786923	Dactylotus					Vasily V. Grebennikov							J. Schmidt							adult						Nepal		27.81	87.08			4800				Nepal		Shershong											
AHCNC113-12	CNC#HEM402203	2495920	CNC#HEM402203		Canadian National Collection of Insects, Arachnids and Nematodes		BOLD:ABW6593	20	Arthropoda	82	Insecta	133	Hemiptera											Andy Hamilton	Morphological Characters			museum voucher			Can-Nepal Expd.							A		S										2895				Nepal					1571535	http://www.boldsystems.org/pics/AHCNC/CNCHEM402203+1333027044.JPG	Lateral		CBG Photography Group	2012	CreativeCommons - Attribution	Centre for Biodiversity Genomics	CBG Photography Group
BBWP305-09	1550-N538-NEP	1239643	N00538	1550B08-NEP	Naturkundemuseum Erfurt			20	Arthropoda	82	Insecta	125	Hymenoptera											Paul H. Williams							A. Weigel							A	F	S						27.643	87.931			3750				Nepal	Eastern												
