,processid,sampleid,recordID,catalognum,fieldnum,institution_storing,collection_code,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,species_name,subspecies_taxID,subspecies_name,identification_provided_by,identification_method,identification_reference,tax_note,voucher_status,tissue_type,collection_event_id,collectors,collectiondate_start,collectiondate_end,collectiontime,collection_note,site_code,sampling_protocol,lifestage,sex,reproduction,habitat,associated_specimens,associated_taxa,extrainfo,notes,lat,lon,coord_source,coord_accuracy,elev,depth,elev_accuracy,depth_accuracy,country,province_state,region,sector,exactsite,image_ids,image_urls,media_descriptors,captions,copyright_holders,copyright_years,copyright_licenses,copyright_institutions,photographers
68,DACIN1221-20,UHIM.ms05261,12229373,UHIM.ms05261,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
137,DACIN2483-20,UHIM.ms08979,12230635,UHIM.ms08979,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,M,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
193,DACIN2486-20,UHIM.ms08982,12230638,UHIM.ms08982,FF15Np002,University of Hawaii Insect Museum,,BOLD:AAA2295,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,M,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
195,DACIN3441-20,UHIM.ms10187,12231593,UHIM.ms10187,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,453393.0,Bactrocera raiensis,,,Michael San jose,,"Drew & Hancock, 1994",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
258,DACIN1215-20,UHIM.ms05255,12229367,UHIM.ms05255,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,453393.0,Bactrocera raiensis,,,Michael San jose,,"Drew & Hancock, 1994",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
259,DACIN3448-20,UHIM.ms10196,12231600,UHIM.ms10196,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,453393.0,Bactrocera raiensis,,,Michael San jose,,"Drew & Hancock, 1994",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
329,DACIN2495-20,UHIM.ms08991,12230647,UHIM.ms08991,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,M,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
330,DACIN2508-20,UHIM.ms09004,12230660,UHIM.ms09004,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,M,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
390,COCUZ606-18,UHIM.ms6016,9394822,UHIM.ms6016,FF15Np002ME,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,79336.0,Bactrocera zonata,,,Luc Leblanc,,"Saunders, 1842",,,,,B. Bhandari,,,,,,,Adult,M,S,,,,Lure: methyl eugenol,,27.5909,83.7209,,,,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
393,DACIN1052-20,UHIM.ms04672,12229204,UHIM.ms04672,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,920060.0,Bactrocera aethriobasis,,,Luc Leblanc,,,,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
396,DACIN2496-20,UHIM.ms08992,12230648,UHIM.ms08992,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,M,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
397,DACIN2502-20,UHIM.ms08998,12230654,UHIM.ms08998,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,M,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
460,DACIN1363-20,UHIM.ms05451,12229515,UHIM.ms05451,FF15Np002,University of Hawaii Insect Museum,,BOLD:AAA2295,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
463,DACIN2505-20,UHIM.ms09001,12230657,UHIM.ms09001,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,M,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
466,DACIN3457-20,UHIM.ms10206,12231609,UHIM.ms10206,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
515,COCUZ593-18,UHIM.ms5999,9394809,UHIM.ms5999,FF15Np002ME,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,79336.0,Bactrocera zonata,,,Luc Leblanc,,"Saunders, 1842",,,,,B. Bhandari,,,,,,,Adult,M,S,,,,Lure: methyl eugenol,,27.5909,83.7209,,,,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
519,DACIN2521-20,UHIM.ms09019,12230673,UHIM.ms09019,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,M,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
582,DACIN2503-20,UHIM.ms08999,12230655,UHIM.ms08999,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,M,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
644,DACIN1219-20,UHIM.ms05259,12229371,UHIM.ms05259,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
645,DACIN2492-20,UHIM.ms08988,12230644,UHIM.ms08988,FF15Np002,University of Hawaii Insect Museum,,,20,Arthropoda,82,Insecta,127.0,Diptera,439.0,Tephritidae,2194.0,Dacinae,6515.0,Bactrocera,78904.0,Bactrocera dorsalis,,,Luc Leblanc,,"Hendel, 1912",,,,,B. Bhandari,,,,Collection Date: April-May 2015,,Methyl eugenol,Adult,M,S,,,,,,27.5909,83.7209,,,128.2,,,,Nepal,,,,"Ramnagar, Nawalparasi",,,,,,,,,
